Antwerp,2^^<http://www.w3.org/2001/XMLSchema#integer>
Brussels,2^^<http://www.w3.org/2001/XMLSchema#integer>
Hasselt,2^^<http://www.w3.org/2001/XMLSchema#integer>
's-Hertogenbosch,1^^<http://www.w3.org/2001/XMLSchema#integer>
Amsterdam,1^^<http://www.w3.org/2001/XMLSchema#integer>
Bergen,1^^<http://www.w3.org/2001/XMLSchema#integer>
Diest,1^^<http://www.w3.org/2001/XMLSchema#integer>
Ghent,1^^<http://www.w3.org/2001/XMLSchema#integer>
Grave,1^^<http://www.w3.org/2001/XMLSchema#integer>
Marche-lez-Écaussinnes,1^^<http://www.w3.org/2001/XMLSchema#integer>
Zullik@nl,1^^<http://www.w3.org/2001/XMLSchema#integer>
